Gap,Priority scope,Title,Owners,Required closure
G01,Base P0,Durable storage,N05/H02/B03,Host queues and dictionaries are volatile. Implement flash journals and database transactions; test interruption at each commit stage.
G02,Base P0,Duplicate reducer effects,H02/H05/S02,HubRuntime reapplies journal duplicates. Deduplicate evidence effects and cap evidence IDs; test replay counts and active-window recovery.
G03,Base P0,Historical coverage,H04/H05,Current-state lease health does not prove uninterrupted window coverage. Record intervals and evaluate the relevant observation interval.
G04,Base P0,Journal reclamation,H02,Cloud ACK records do not reclaim host journal capacity. Specify retention and safe compaction before long-duration operation.
G05,Base P0,Retry refill,N02/N05,A failed radio enqueue after store append has no integrated refill pump. Recover retained events without inventing new event IDs.
G06,Base P0,Local prompt orchestration,H05/H06,"The reducer returns a decision at grace deadline. Prompt, resident response window and intent publication require an explicit integrated state machine."
G07,Base P0,Daily summary scope,B05,"The helper counts all retained home activity and trusts caller flags. Filter by date/window, enforce consent and define same-day policy-version behaviour."
G08,Base P0,Action authorisation,B01/B04,Incident mutations currently require read permission. Define action-specific roles and transactional claim conflict handling.
G09,Base P0,Transport and clock,N02/H01/H03/H08,"Radio cryptography, frame parsing, channel recovery, authenticated clock anchoring and remote transport adapters are not integrated."
G10,Base P0,Notification worker,B05,"Real delivery, failed-job retry, worker leases and ambiguous-send reconciliation are pending. Provider accepted must stay separate from human acknowledged."
G11,Base P0,Feature flag enforcement,S04/T01,Legacy flags are partly descriptive or simulator gates. Test actual entry-point exclusion before using any flag as a shipped capability boundary.
G12,Base P0,Resource and crash evidence,S05/T02,"Container bounds are not complete RAM bounds. Measure heap/stack/current; add asynchronous target logging, watchdog and panic recovery."
G13,Future AI,AI coordinator and audio,H10/H11,"Only H09 lifecycle exists. Implement consent propagation, record/playback stop and priority interruption without blocking monitoring."
G14,Future AI,AI gateway and quotas,B09/A06,"Provider credentials, authorised capabilities, concurrency/usage limits and availability UI are not implemented."
G15,Base P0,Schema and end-to-end adapters,S01/B07/A05,"Contract checks currently inspect source structure. Add actual payload conformance, numeric bounds, application ACK mapping and complete UI/API integration."
